Date,Close,High,Low,Open,Volume,Ticker
2014-01-02,71.15398406982422,72.1514324893474,70.96696397747901,71.94882986649905,1319900,NSC
2014-01-03,71.20075988769531,72.10469549580822,71.02152804684911,71.53584085037595,1016100,NSC
2014-01-06,70.1331558227539,71.80076594114071,70.09419058030342,71.29424751559078,1690200,NSC
2014-01-07,70.5539321899414,70.70978121779417,70.19547466967256,70.44483668139259,1672400,NSC
2014-01-08,70.0630111694336,70.62407130707246,69.50194508653465,70.55394101934013,1435900,NSC
2014-01-09,71.15398406982422,71.20853184447748,70.1799124186865,70.36693845629325,1451200,NSC
2014-01-10,71.37217712402344,71.55920316675467,70.73318634117932,70.91241814581466,892900,NSC
2014-01-13,70.28117370605469,71.72279761775279,70.06298275015543,71.41109370421485,1284300,NSC
2014-01-14,70.72540283203125,71.04489527243211,69.89159765722523,70.32797989592383,1421800,NSC
2014-01-15,71.037109375,71.05269190750961,70.45266630906147,70.77995299912409,1344300,NSC
2014-01-16,68.38761138916016,69.33830609454807,67.90446980003799,68.95646579795101,3841300,NSC
2014-01-17,69.34610748291016,70.03964602449733,68.2707345178704,68.28631704840943,2862300,NSC
2014-01-21,69.12789916992188,69.93053306119918,68.76944160416988,69.55649296878843,2420300,NSC
2014-01-22,72.42415618896484,73.83460962603982,71.15396332130257,71.33319506876295,5877200,NSC
2014-01-23,72.9852294921875,74.10735577569045,72.65793696195793,73.10211331163335,3194600,NSC
2014-01-24,69.82925415039062,71.80077436639753,69.81366567347673,71.70726134070011,3062500,NSC
2014-01-27,70.38249969482422,71.04486702816753,69.66558460332935,69.97728862644965,2963400,NSC
2014-01-28,71.11502075195312,71.69166947216479,70.21887369449882,70.32017500019806,1660000,NSC
2014-01-29,69.97731018066406,70.73318479208402,69.6110582865803,70.54616469871033,2195200,NSC
2014-01-30,72.28392791748047,72.6813449649305,70.6163173303481,70.63189986455158,2081300,NSC
2014-01-31,72.15142059326172,72.689109958521,71.15397233819448,71.31761563517327,2540900,NSC
2014-02-03,69.80587768554688,73.01641429345905,69.71236465944051,72.57223782366236,2960800,NSC
2014-02-04,71.52800750732422,72.08127931621209,69.80585008790318,71.16954996685854,8301200,NSC
2014-02-05,71.92779541015625,72.20998862774636,70.47763947447821,71.63776183084315,3272900,NSC
2014-02-06,73.34658813476562,73.48768472866239,71.86507688907123,72.0375289461054,2505500,NSC
2014-02-07,74.26373291015625,74.41266990486847,72.74303141327114,73.44850859140443,2643400,NSC
2014-02-10,72.83707427978516,74.19316968977584,72.68814330143849,74.09126293673295,2522800,NSC
2014-02-11,72.98604583740234,73.49556190282169,72.86846428685233,73.09578702313007,2345500,NSC
2014-02-12,73.3701171875,73.43282812569856,72.64111897716323,73.26037603587461,2372000,NSC
2014-02-13,72.4843521118164,72.70383442869226,72.08457733153845,72.56273779920855,2076300,NSC
2014-02-14,72.77438354492188,73.01738696307655,72.28838866950235,72.4530004157359,1847000,NSC
2014-02-18,71.64559173583984,72.8057139228841,70.88523823166528,72.79787954274828,3351700,NSC
2014-02-19,70.79901885986328,71.77101434746113,70.76766339504485,71.44963129884815,3099700,NSC
2014-02-20,71.34771728515625,71.7004617431478,70.65007471013385,70.92443350427489,2112100,NSC
2014-02-21,70.91661834716797,71.83374349909062,70.7833620732192,71.53587547842072,2484200,NSC
2014-02-24,71.54369354248047,72.15511615141105,70.86957196319642,71.22231048564859,2309700,NSC
2014-02-25,71.04986572265625,71.4966706879246,70.48547924432903,71.41828500603343,2149800,NSC
2014-02-26,71.08905792236328,71.87292666212093,70.88525037550201,71.1360881330067,1680600,NSC
2014-02-27,71.02637481689453,71.10476052549402,70.36008732312956,70.86960339969556,1929200,NSC
2014-02-28,72.04535675048828,72.49216155654891,70.99496985000414,71.08903622302188,1923400,NSC
2014-03-03,71.92779541015625,72.20998862774636,71.25366783262916,71.30069804207962,2409100,NSC
2014-03-04,73.80123901367188,74.41265564041976,72.75869221142558,72.84491824652527,2544100,NSC
2014-03-05,73.67583465576172,74.66351112309577,73.4877077983226,74.04425398772851,2337400,NSC
